Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;Humid1;Humid2;Pressure1;Pressure2;Could1;Cloud2;Temp1;Temp2;RainToday;RainTomorrow
01/03/08;Sydney;128;22;2;6.2;113;55;46;1020.9;10206;0;1;159;212;No;Yes
02/03/08;Sydney;142;234;54;6.4;73;93;54;1026.2;10252;7;2;151;224;Yes;No
03/03/08;Sydney;15;231;2;2.6;112;78;57;1025.8;10225;1;1;182;225;No;No
04/03/08;Sydney;155;254;0;6.8;113;77;57;1020.5;10186;0;2;187;238;No;No
05/03/08;Sydney;187;258;0;6;87;72;64;1024.8;10242;6;3;226;241;No;No
06/03/08;Sydney;196;26;0;5;104;67;65;1024.2;10198;1;1;221;247;No;No
07/03/08;Sydney;199;249;0;7.6;45;83;75;1021.3;10207;5;7;229;233;No;Yes
08/03/08;Sydney;165;248;174;6;96;88;71;1023.4;10223;1;2;188;215;Yes;No
09/03/08;Sydney;164;243;0;4.6;102;82;64;1025.5;10252;1;2;197;238;No;No
10/03/08;Sydney;193;263;0;4.6;108;76;50;1025.1;10225;1;0;229;255;No;No
11/03/08;Sydney;186;261;0;7.6;113;72;58;1022;10214;0;0;219;26;No;No
12/03/08;Sydney;193;264;0;7;111;77;60;1021.9;10188;1;1;222;25;No;No
13/03/08;Sydney;192;261;0;6;106;84;69;1019.7;1019;1;4;224;253;No;No
14/03/08;Sydney;188;26;0;5.4;11;84;62;1022.8;1020;3;1;218;257;No;No
15/03/08;Sydney;193;261;0;7;113;80;64;1022.1;10209;1;1;225;256;No;No
16/03/08;Sydney;197;258;0;5.6;101;81;69;1024.6;10226;2;2;228;247;No;No
17/03/08;Sydney;195;257;0;6.4;10;82;60;1024.8;10228;4;1;22;254;No;No
18/03/08;Sydney;19;267;0;8;97;73;58;1023.3;1020;0;2;222;256;No;No
19/03/08;Sydney;199;269;0;6.6;63;70;60;1021.2;10194;5;7;239;249;No;No
20/03/08;Sydney;197;281;0;6;104;70;58;1014.3;10096;2;2;235;276;No;No
21/03/08;Sydney;177;196;1;7;0;87;80;1017.3;10189;8;8;178;184;No;Yes
22/03/08;Sydney;169;232;22;2.2;6;81;60;1022.8;10222;7;7;196;217;Yes;No
23/03/08;Sydney;163;248;4;4;61;82;57;1023.1;10206;5;6;185;248;No;Yes
24/03/08;Sydney;185;243;17;2.6;8;95;72;1018.7;10153;6;2;199;233;Yes;No
25/03/08;Sydney;198;275;4;6.4;25;81;58;1011.1;10069;5;7;214;27;No;Yes
26/03/08;Sydney;17;272;19;2.4;105;76;38;1008.9;10079;1;5;205;271;Yes;No
27/03/08;Sydney;15;236;0;5.8;11;52;42;1014.7;10134;1;1;175;218;No;No
28/03/08;Sydney;152;217;0;2.6;83;71;51;1017.1;10162;4;3;183;212;No;No
29/03/08;Sydney;144;229;2;4.8;93;85;65;1015.4;10112;3;2;167;217;No;No
30/03/08;Sydney;131;268;0;4.6;109;61;22;1013;1009;0;1;169;259;No;No
31/03/08;Sydney;135;256;0;5.8;104;57;31;1015;10125;4;1;163;249;No;No
01/04/08;Sydney;137;239;0;6.6;11;55;54;1023;10215;1;1;167;233;No;No
02/04/08;Sydney;141;287;0;3.8;105;75;34;1019;10124;1;7;178;28;No;No
03/04/08;Sydney;164;222;0;10.6;97;42;21;1009.9;10108;6;1;166;212;No;No
04/04/08;Sydney;112;222;0;7.6;106;47;37;1020.8;10192;1;0;139;21;No;No
05/04/08;Sydney;116;227;0;4.2;107;71;50;1024.5;10234;0;1;152;21;No;No
06/04/08;Sydney;131;227;0;3.6;64;71;55;1027.2;10246;5;6;177;221;No;Yes
07/04/08;Sydney;153;22;12;3.2;47;83;70;1026.3;10242;5;6;182;198;Yes;Yes
08/04/08;Sydney;146;221;96;5.4;51;86;75;1026.5;10241;6;6;17;189;Yes;Yes
09/04/08;Sydney;156;222;228;5.4;58;96;62;1024.6;10214;7;5;163;211;Yes;Yes
10/04/08;Sydney;138;227;22;3.6;106;77;60;1022.1;10197;5;1;187;219;Yes;No
11/04/08;Sydney;141;235;0;3.2;89;83;61;1020.1;10175;4;2;171;221;No;No
12/04/08;Sydney;14;238;0;4;78;79;59;1018.6;1016;7;4;176;222;No;No
13/04/08;Sydney;151;227;0;1.8;66;81;75;1016.4;10134;5;6;174;197;No;Yes
14/04/08;Sydney;132;189;11;3.2;52;82;64;1019.6;10192;7;3;159;188;Yes;Yes
15/04/08;Sydney;138;197;28;2.8;17;85;71;1025.4;10239;7;7;159;19;Yes;Yes
16/04/08;Sydney;138;209;14;4.6;22;78;85;1026.4;10246;7;8;172;162;Yes;Yes
17/04/08;Sydney;149;197;46;1.4;8;91;72;1025.1;10234;7;7;164;194;Yes;Yes
18/04/08;Sydney;153;20;64;3.2;3;94;75;1025.4;10237;8;7;164;196;Yes;Yes
19/04/08;Sydney;159;214;5;4.8;5;51;61;1027.2;10261;6;7;193;195;Yes;Yes
20/04/08;Sydney;152;191;28;4;13;79;75;1026.6;10237;7;6;173;184;Yes;Yes
21/04/08;Sydney;147;193;218;7.5;46;91;70;1023.2;10214;8;7;166;19;Yes;Yes
22/04/08;Sydney;144;203;102;3.6;2;90;55;1023.6;10223;7;5;161;201;Yes;Yes
23/04/08;Sydney;147;179;126;4;7;90;89;1024;10221;7;7;162;172;Yes;Yes
24/04/08;Sydney;147;20;156;1.6;25;93;80;1021.3;10186;7;7;168;193;Yes;Yes
25/04/08;Sydney;168;212;54;2.6;26;55;69;NA;10139;7;7;197;203;Yes;No
26/04/08;Sydney;127;248;4;2.6;102;81;38;1011.2;1007;2;7;156;246;No;No
27/04/08;Sydney;156;261;0;5.2;76;51;28;1005.2;9991;6;2;203;257;No;No
28/04/08;Sydney;119;168;0;7.6;85;46;33;1007.4;10086;2;6;137;156;No;No
29/04/08;Sydney;86;184;0;3.8;105;54;41;1020.4;10198;1;1;117;178;No;No
30/04/08;Sydney;84;196;0;3.6;98;68;50;1024.2;10213;1;3;116;181;No;No
01/05/08;Sydney;116;182;0;4;27;74;56;1019.7;10167;7;7;134;181;No;No
02/05/08;Sydney;108;222;0;2.4;91;65;44;1018.7;10153;1;3;145;217;No;No
03/05/08;Sydney;109;196;0;3.4;105;62;52;1019.3;10169;1;1;141;186;No;No
04/05/08;Sydney;94;203;0;3.6;103;64;47;1021.1;10183;1;1;124;194;No;No
05/05/08;Sydney;94;223;0;2;10;71;34;1018.7;10152;1;2;124;222;No;No
06/05/08;Sydney;118;236;0;3.4;31;74;48;1017.1;10133;6;7;137;211;No;No
07/05/08;Sydney;13;23;0;3.6;94;57;44;1014.3;10118;1;3;165;22;No;No
08/05/08;Sydney;11;218;0;3.2;102;63;45;1019.2;10175;1;1;14;208;No;No
09/05/08;Sydney;11;219;0;3.2;101;75;60;1021.4;10202;0;1;143;206;No;No
10/05/08;Sydney;126;213;0;3;96;86;67;1022.2;10196;1;1;152;193;No;No
11/05/08;Sydney;14;194;0;1.2;21;84;67;1023.1;10212;7;7;168;187;No;No
12/05/08;Sydney;124;195;0;1.6;73;88;63;1023.5;10205;1;1;149;192;No;No
13/05/08;Sydney;132;197;0;1.8;42;88;67;1023.4;10217;6;7;15;181;No;No
14/05/08;Sydney;112;206;0;2;97;82;64;1023.8;10205;1;1;138;20;No;No
15/05/08;Sydney;12;214;2;3.2;87;90;60;1022.2;10178;1;1;139;213;No;Yes
16/05/08;Sydney;138;232;12;2.2;64;78;66;1017.1;1013;6;2;159;209;Yes;No
17/05/08;Sydney;152;218;0;4.2;69;52;41;1008.4;10036;3;7;192;209;No;No
18/05/08;Sydney;88;178;0;4.2;94;57;36;1007;10063;1;1;116;17;No;No
19/05/08;Sydney;107;205;0;4.4;99;58;36;1015.7;10133;1;0;125;203;No;No
20/05/08;Sydney;103;217;0;3;10;64;38;1020.1;10175;1;1;13;213;No;No
21/05/08;Sydney;111;189;0;2.4;61;74;64;1022.4;10228;4;7;135;173;No;No
22/05/08;Sydney;119;187;0;4;75;63;52;1028.2;10262;1;2;151;174;No;No
23/05/08;Sydney;11;184;0;3.4;54;76;53;1026.9;10246;1;5;127;171;No;No
24/05/08;Sydney;114;201;0;2.4;91;71;39;1025.4;10227;1;1;133;193;No;No
25/05/08;Sydney;88;183;0;3.6;65;78;58;1025.1;10222;4;3;111;169;No;No
26/05/08;Sydney;109;211;4;0.4;91;81;58;1025.9;10226;6;2;129;195;No;No
27/05/08;Sydney;115;224;0;3.2;87;82;71;1024.6;10218;3;1;136;191;No;No
28/05/08;Sydney;11;192;0;1.6;39;80;74;1025.6;10239;3;6;128;186;No;No
29/05/08;Sydney;11;186;1;1;46;86;76;1030.2;10291;3;2;127;176;No;No
30/05/08;Sydney;109;21;2;1.4;56;87;58;1032;10287;1;2;127;196;No;No
31/05/08;Sydney;108;201;0;1;94;90;61;1028.6;102666;1;1;117;194;No;No
01/06/08;Sydney;116;205;2;2.2;3;91;74;1029.3;1027;7;7;143;187;No;Yes
02/06/08;Sydney;143;176;22;1.8;1;97;90;1027.3;10248;8;7;153;171;Yes;Yes
03/06/08;Sydney;152;191;4;0.4;0;98;90;1026.4;10241;8;8;156;167;Yes;Yes
04/06/08;Sydney;155;183;92;2.4;0;87;88;1023.1;10205;8;8;175;172;Yes;Yes
05/06/08;Sydney;152;169;464;2.4;0;82;84;1020.1;10186;7;8;16;166;Yes;Yes
06/06/08;Sydney;147;174;124;0.4;18;81;70;1021.2;10203;7;6;151;166;Yes;No
07/06/08;Sydney;117;182;0;2.2;88;76;49;1025;10257;1;1;133;179;No;Yes
08/06/08;Sydney;127;177;6;1.4;5;97;71;1032.1;10298;8;7;141;172;Yes;Yes
09/06/08;Sydney;13;169;36;1.2;12;96;89;1030.9;1028;7;8;139;162;Yes;Yes
10/06/08;Sydney;124;199;16;1.6;39;98;68;1027.5;10239;7;1;132;191;Yes;No
11/06/08;Sydney;132;199;0;1.8;0;74;70;1022.9;10206;7;8;173;196;No;Yes
12/06/08;Sydney;137;221;54;1.8;69;97;64;1022.4;10181;8;1;141;201;Yes;No
13/06/08;Sydney;14;188;0;3.4;86;67;42;1012.2;10115;1;2;166;167;No;No
14/06/08;Sydney;96;146;0;3.8;34;49;52;1022;10225;5;7;112;141;No;No
15/06/08;Sydney;106;153;0;2.8;1;75;87;1024.4;10228;7;8;137;145;No;Yes
16/06/08;Sydney;133;168;72;5;24;86;83;1024.2;1023;6;7;15;158;Yes;Yes
17/06/08;Sydney;131;175;34;0.8;13;88;73;1026.7;10248;7;7;142;173;Yes;No
18/06/08;Sydney;136;194;0;1.6;41;90;69;1025.5;10221;7;8;148;192;No;No
19/06/08;Sydney;128;203;0;2;5;91;69;1020.3;10174;6;7;139;186;No;Yes
20/06/08;Sydney;138;179;36;0.6;6;81;60;1018.3;10162;7;7;143;172;Yes;Yes
21/06/08;Sydney;116;185;22;1.8;94;66;40;1020.7;10189;1;1;132;18;Yes;No
22/06/08;Sydney;97;173;0;3.4;93;61;54;1023.2;1024;1;3;114;163;No;No
23/06/08;Sydney;82;171;0;3.4;7;74;43;1023.7;10204;1;7;99;17;No;No
24/06/08;Sydney;92;192;0;1.8;92;72;45;1027;10231;1;1;107;188;No;No
25/06/08;Sydney;99;196;0;2.8;98;69;43;1024.6;10206;1;0;118;194;No;No
26/06/08;Sydney;102;202;0;3.2;97;47;38;1017;10168;0;1;146;193;No;No
27/06/08;Sydney;95;194;0;4.4;93;57;32;1025.9;10236;0;0;108;189;No;No
28/06/08;Sydney;79;187;0;3;88;68;43;1027.6;10247;1;1;101;181;No;No
29/06/08;Sydney;79;21;0;0.8;98;84;42;1024.1;10188;2;1;92;208;No;No
30/06/08;Sydney;92;221;0;3.2;98;47;35;1017.1;10103;1;1;138;216;No;No
01/07/08;Sydney;103;196;2;3.8;95;45;34;1011;10085;0;1;131;192;No;No
02/07/08;Sydney;108;192;0;4;97;55;35;1012.5;10112;1;1;146;188;No;No
03/07/08;Sydney;92;179;0;3.2;96;63;42;1022.7;10208;1;1;107;174;No;Yes
04/07/08;Sydney;82;15;12;2.4;4;84;88;1029;10282;7;7;91;129;Yes;Yes
05/07/08;Sydney;91;174;142;1.6;25;78;48;1031.9;10289;6;6;113;168;Yes;No
06/07/08;Sydney;83;184;0;2.2;78;84;59;1029.2;10257;1;3;98;177;No;No
07/07/08;Sydney;97;198;0;2.2;43;87;55;1024.4;10197;7;5;113;193;No;No
08/07/08;Sydney;105;172;2;1.6;55;80;49;1020.9;10174;1;4;121;164;No;No
09/07/08;Sydney;69;133;0;2.8;46;57;43;1018;10157;2;7;96;132;No;Yes
10/07/08;Sydney;72;158;18;2.4;49;58;38;1014.6;1010;7;3;102;158;Yes;No
11/07/08;Sydney;10;165;0;4.8;98;46;27;1016.5;1017;1;1;113;161;No;No
12/07/08;Sydney;57;159;0;3.4;83;67;45;1027.5;10235;4;7;78;15;No;No
13/07/08;Sydney;78;173;0;2.6;0;67;58;1024.2;10212;8;8;115;171;No;No
14/07/08;Sydney;101;231;0;1.8;61;80;54;1021.5;10173;7;1;12;229;No;No
15/07/08;Sydney;97;198;0;1.8;97;81;70;1020.8;10184;1;1;111;174;No;No
16/07/08;Sydney;89;18;0;2;96;81;50;1022.2;10191;1;1;108;174;No;No
17/07/08;Sydney;82;185;0;1.4;9;84;38;1019.2;10133;4;5;101;173;No;No
18/07/08;Sydney;82;187;0;4;87;73;21;1010.1;10073;1;1;101;179;No;No
19/07/08;Sydney;81;182;0;3.4;95;53;32;1016.2;10141;1;2;109;182;No;No
20/07/08;Sydney;108;176;0;3.2;0;41;55;1015.4;10086;8;8;146;168;No;Yes
21/07/08;Sydney;104;175;28;1.6;97;56;31;1006.2;10081;1;1;131;167;Yes;No
22/07/08;Sydney;72;151;0;3.8;10;52;31;1024.8;10252;0;1;88;139;No;No
23/07/08;Sydney;55;147;0;4;4;67;61;1031.5;10296;6;6;7;141;No;Yes
24/07/08;Sydney;69;159;7;0.2;17;95;70;1029.3;10254;8;7;109;147;Yes;Yes
25/07/08;Sydney;98;127;88;2.4;1;93;81;1022.6;10201;8;7;105;126;Yes;Yes
26/07/08;Sydney;62;17;162;1.4;86;79;47;1018.3;10143;1;5;84;155;Yes;No
27/07/08;Sydney;63;176;0;2;76;71;41;1013.1;10086;2;7;91;164;No;Yes
28/07/08;Sydney;7;136;38;3;36;79;79;1011.3;10113;6;8;84;102;Yes;Yes
29/07/08;Sydney;8;15;332;1.4;69;86;59;1017.2;10151;6;6;91;135;Yes;No
30/07/08;Sydney;6;17;2;2.6;97;65;43;1016.7;10137;2;1;94;162;No;No
31/07/08;Sydney;6;203;0;3.4;102;71;42;1016.6;10116;1;2;79;185;No;No
01/08/08;Sydney;79;208;0;4.6;18;40;46;1004.8;10033;6;7;172;168;No;No
02/08/08;Sydney;97;168;0;4.6;101;48;32;1013.2;10133;1;1;119;166;No;No
03/08/08;Sydney;94;188;0;3.6;10;52;34;1020.4;10177;0;1;116;187;No;No
04/08/08;Sydney;81;172;0;3;59;62;45;1020.4;10171;6;6;106;15;No;No
05/08/08;Sydney;66;163;0;3.4;85;67;52;1019.1;10161;1;5;92;163;No;No
06/08/08;Sydney;88;155;0;3.4;34;89;70;1014.9;10156;7;7;95;143;No;No
07/08/08;Sydney;83;165;8;0.4;6;74;75;1017.9;10146;1;7;109;114;No;Yes
08/08/08;Sydney;82;186;46;1.4;57;58;38;1016.4;10169;7;5;117;184;Yes;No
09/08/08;Sydney;69;173;0;4;96;56;37;1021.9;10181;1;4;99;164;No;No
10/08/08;Sydney;67;156;0;3;59;62;38;1016.2;10118;2;2;105;135;No;No
11/08/08;Sydney;7;159;4;3.6;107;46;35;1016;10154;1;4;94;154;No;No
12/08/08;Sydney;68;163;0;3;10;50;28;1021.7;10188;1;1;107;158;No;No
13/08/08;Sydney;84;174;0;4;105;49;34;1023;10219;1;2;122;16;No;No
14/08/08;Sydney;72;185;0;4;104;51;28;1021.1;10156;0;1;102;18;No;No
15/08/08;Sydney;94;188;0;4.6;107;49;33;1013.4;10102;1;1;124;181;No;No
16/08/08;Sydney;105;18;0;4;92;48;42;1011.8;10105;1;4;132;166;No;No
17/08/08;Sydney;69;164;0;4.6;104;45;35;1021.9;10218;1;1;104;155;No;No
18/08/08;Sydney;56;158;0;3.4;76;59;33;1024.9;10212;6;7;92;153;No;No
19/08/08;Sydney;53;176;6;1.8;108;65;32;1028.8;10254;1;5;95;175;No;No
20/08/08;Sydney;82;195;0;3.8;74;58;35;1026.6;10232;7;7;126;192;No;No
21/08/08;Sydney;94;202;0;3.2;11;58;44;1022.5;10171;8;7;12;182;No;Yes
22/08/08;Sydney;102;119;26;3.4;0;90;87;1016.1;10155;8;8;105;105;Yes;Yes
23/08/08;Sydney;73;148;208;1.6;59;65;53;1022.8;10241;7;7;112;134;Yes;No
24/08/08;Sydney;55;173;0;3;104;63;47;1029.6;10279;1;2;98;166;No;No
25/08/08;Sydney;82;164;0;3.6;71;76;48;1029.9;10248;7;5;111;16;No;No
26/08/08;Sydney;85;215;0;2.6;93;78;51;1023.4;10193;2;3;111;187;No;No
27/08/08;Sydney;92;176;0;4;84;59;;1025.1;10253;3;4;131;153;No;Yes
28/08/08;Sydney;88;169;24;3.2;85;85;59;1028;10253;3;5;12;158;Yes;No
29/08/08;Sydney;87;182;0;4.2;101;70;62;1025.7;10223;2;4;125;161;No;No
30/08/08;Sydney;81;16;0;NA;63;82;65;1023.4;10191;5;7;121;157;No;Yes
31/08/08;Sydney;121;192;12;NA;3;91;71;1011.2;1009555;7;7;153;191;Yes;No
01/09/08;Sydney;104;21;2;4;113;54;41;1022.9;10208;0;0;15;19;No;No
02/09/08;Sydney;87;206;0;3;111;56;39;1026.1;10244;0;1;141;189;No;No
03/09/08;Sydney;97;179;0;3.4;62;67;64;1032.6;10324;7;7;158;16;No;No
04/09/08;Sydney;135;171;4;4.6;7;55;64;1034.2;1031;7;8;154;158;No;Yes
05/09/08;Sydney;131;157;16;4.4;0;76;88;1024.9;10208;8;8;156;142;Yes;Yes
06/09/08;Sydney;118;142;622;NA;0;92;88;1014.8;10131;8;8;13;123;Yes;Yes
07/09/08;Sydney;95;19;216;0;94;69;51;1016.4;10141;2;6;141;183;Yes;No
08/09/08;Sydney;94;175;0;3.4;99;68;51;1019.5;10182;1;2;139;164;No;No
09/09/08;Sydney;84;164;0;6.2;109;49;43;1025;10219;1;1;126;154;No;No
10/09/08;Sydney;7;168;0;4;107;66;44;1022.7;10191;1;1;124;166;No;No
11/09/08;Sydney;71;177;0;3;103;72;60;1019.2;10142;1;2;123;168;No;No
12/09/08;Sydney;87;243;0;3.6;108;53;35;1014.9;10108;1;1;148;219;No;No
13/09/08;Sydney;148;306;0;7.4;106;40;47;1014.1;10104;3;1;243;25;No;Yes
14/09/08;Sydney;172;235;36;9.6;28;82;79;1011.8;10074;8;6;18;193;Yes;Yes
15/09/08;Sydney;169;279;4;3;11;58;23;1009.7;10034;1;1;225;278;Yes;No
16/09/08;Sydney;123;198;0;10.6;113;30;25;1015.8;10165;1;1;143;195;No;No
17/09/08;Sydney;107;163;0;7.2;46;60;58;1026.4;10234;6;6;148;15;No;No
18/09/08;Sydney;94;194;0;3.6;101;63;61;1021.4;10162;1;4;157;183;No;No
19/09/08;Sydney;146;258;0;4.2;104;67;47;1015.8;1011;1;0;194;24;No;No
20/09/08;Sydney;188;328;0;7.6;109;46;17;1010.1;10059;0;6;258;316;No;No
21/09/08;Sydney;158;216;0;9;109;73;61;1019.8;10144;4;0;18;207;No;No
22/09/08;Sydney;132;298;0;4.4;75;64;33;1011.6;1007;0;7;191;276;No;Yes
23/09/08;Sydney;156;17;26;10.4;3;88;60;1015.5;1018;8;5;156;169;Yes;Yes
24/09/08;Sydney;97;186;22;2.4;111;60;50;1030.3;10286;3;1;162;175;Yes;No
25/09/08;Sydney;103;186;0;4;109;67;54;1031.6;10278;1;1;16;182;No;No
26/09/08;Sydney;113;222;0;6.2;114;56;53;1024.3;10184;1;5;179;216;No;No
27/09/08;Sydney;14;254;0;5.6;114;67;62;1021.6;10157;4;1;204;214;No;No
28/09/08;Sydney;198;329;0;6.6;84;35;62;1009.8;10071;2;2;254;215;No;No
29/09/08;Sydney;135;218;0;6.6;71;42;63;1013.8;10156;1;7;194;161;No;No
30/09/08;Sydney;119;192;8;6.4;111;61;48;1020.3;1016777;2;1;165;19;No;No
01/10/08;Sydney;126;247;0;5.2;106;70;69;1020.9;10157;6;1;19;205;No;No
02/10/08;Sydney;189;311;0;6.6;10;44;39;1016.9;10135;3;1;247;297;No;No
03/10/08;Sydney;225;348;0;8.6;98;41;20;1014.8;10103;1;7;296;339;No;Yes
04/10/08;Sydney;175;194;96;10.4;0;89;88;1015.2;10129;7;8;189;19;Yes;Yes
05/10/08;Sydney;146;191;34;1;0;93;86;1018.4;10153;8;8;149;16;Yes;Yes
06/10/08;Sydney;149;228;18;2;33;85;71;1009.2;10039;8;7;185;202;Yes;No
07/10/08;Sydney;97;206;4;3.4;117;51;42;1017.7;10144;1;1;128;172;No;No
08/10/08;Sydney;109;197;0;NA;10;53;47;1018.8;10186;4;1;14;184;No;No
09/10/08;Sydney;105;199;0;5.4;117;56;58;1026.2;10257;1;1;158;192;No;No
10/10/08;Sydney;126;215;0;6;107;76;57;1029;10254;3;3;169;205;No;No
11/10/08;Sydney;146;223;0;6.6;72;82;65;1027.4;10243;5;3;16;20;No;No
12/10/08;Sydney;142;225;0;3.6;106;76;69;1025;10218;1;1;186;208;No;No
13/10/08;Sydney;161;292;0;7;92;72;43;1021.4;10166;2;2;202;277;No;No
14/10/08;Sydney;166;21;6;9.2;23;89;84;1021.7;1016;8;7;168;176;No;Yes
15/10/08;Sydney;151;189;9;3.2;5;63;55;1022.4;10212;7;8;159;181;Yes;No
16/10/08;Sydney;118;221;0;4.2;114;64;42;1025.5;10234;1;1;166;203;No;No
17/10/08;Sydney;129;249;0;5.8;117;71;49;1024.2;1021;1;2;176;224;No;No
18/10/08;Sydney;167;232;0;7.4;103;77;82;1025.4;1022;5;2;186;197;No;No
19/10/08;Sydney;165;268;0;7.8;108;64;48;1022.3;10185;1;2;213;266;No;No
20/10/08;Sydney;171;222;0;8;57;76;55;1022.3;10193;7;1;181;218;No;Yes
21/10/08;Sydney;145;192;18;5.2;84;68;59;1020.9;10196;6;7;168;188;Yes;Yes
22/10/08;Sydney;99;143;126;6;23;87;74;1022.1;10219;7;7;103;124;Yes;Yes
23/10/08;Sydney;79;157;114;4.2;5;71;75;1023.2;10225;6;7;119;141;Yes;Yes
24/10/08;Sydney;9;202;2;2.4;102;66;51;1023.2;1019;6;6;144;182;Yes;No
25/10/08;Sydney;123;24;0;4.8;115;66;47;1018.3;10151;1;1;173;222;No;No
26/10/08;Sydney;144;244;0;8;87;58;57;1016.8;10134;6;7;202;236;No;No
27/10/08;Sydney;198;336;0;7.6;118;55;38;1015.2;10108;2;1;237;298;No;No
28/10/08;Sydney;176;219;0;11.4;57;67;70;1020.8;10199;5;8;208;205;No;Yes
29/10/08;Sydney;168;173;62;4.6;0;93;91;1024.3;10238;8;8;172;167;Yes;Yes
30/10/08;Sydney;151;258;76;1.2;37;92;70;1022.6;10167;8;6;17;235;Yes;No
31/10/08;Sydney;169;35;2;3.2;5;53;24;1010;10053;6;7;256;346;No;No
01/11/08;Sydney;18;212;4;10.2;24;73;64;1021.9;10229;7;7;189;204;No;No
02/11/08;Sydney;175;231;8;4.6;2;72;60;1024.9;1021;7;7;183;20;No;Yes
03/11/08;Sydney;172;303;28;3.4;103;62;35;1009.7;1006;2;4;231;286;Yes;No
04/11/08;Sydney;155;19;2;7.8;62;59;62;1015;10159;7;6;175;178;No;No
05/11/08;Sydney;145;21;0;7.8;5;59;60;1015.5;10106;6;8;182;201;No;No
06/11/08;Sydney;152;303;0;6;103;58;45;1009.6;10067;5;7;21;25;No;No
07/11/08;Sydney;16;241;0;8.4;41;61;60;1014.5;10111;6;8;187;213;No;No
08/11/08;Sydney;184;252;2;5.2;2;62;47;1001.8;10038;7;8;221;228;No;No
09/11/08;Sydney;166;23;4;4.4;11;46;60;1017.2;10179;1;2;207;215;No;No
10/11/08;Sydney;174;233;0;8;81;63;56;1023.5;10219;5;1;219;222;No;No
11/11/08;Sydney;159;231;0;5.2;99;66;49;1023.9;10209;3;2;205;223;No;No
12/11/08;Sydney;164;246;0;6.6;107;69;54;1020.1;10171;7;1;205;24;No;No
13/11/08;Sydney;19;249;0;8;119;61;65;1019.3;1016;3;3;234;242;No;No
14/11/08;Sydney;192;27;0;10.6;91;65;57;1013.8;10106;5;5;243;261;No;Yes
15/11/08;Sydney;185;231;66;9.4;24;92;73;1013.6;10121;8;7;186;215;Yes;Yes
16/11/08;Sydney;172;224;12;3.4;4;75;64;1016.4;10167;7;7;191;194;Yes;No
